priority,issue_type,reporter,vote_count,comment_count,description_length,summary_length,watch_count,issue_number,num_components,component_java,num_affected_versions,num_labels,created_weekday,created_month,duration
Major,Bug,thiru_mg,0,3,252.0,43,1,1116,1,0,10,0,4,6,18 days 14:46:52.937000
Critical,Bug,mpugachev,0,5,569.0,50,2,1115,1,0,1,0,2,6,9 days 00:46:16.543000
Major,Bug,cutting,0,1,89.0,52,1,1114,1,1,1,0,0,6,0 days 00:01:44.005000
Minor,Bug,matthewcmead,0,8,127.0,54,3,1112,1,1,2,2,5,6,6 days 16:50:37.926000
Major,Bug,hshreedharan,0,7,771.0,53,9,1111,1,1,1,0,4,6,94 days 13:13:16.858000
Major,Bug,spachev,0,3,235.0,59,3,1110,1,0,1,0,3,6,10 days 23:35:59.315000
Major,Bug,mfarnan,0,4,275.0,49,2,1109,1,0,3,4,3,6,35 days 17:12:28.715000
Major,New Feature,nagav.ashish,0,6,121.0,45,2,1108,1,1,1,0,5,6,13 days 21:10:39.313000
Major,New Feature,nagav.ashish,0,8,50.0,43,3,1106,1,1,1,2,4,6,11 days 12:50:52.971000
Major,New Feature,lmartinking,1,5,135.0,15,4,1104,1,0,1,2,0,5,21 days 16:50:22.082000
Major,Improvement,jacobmetcalf,0,10,1594.0,58,4,1103,1,1,1,0,5,5,67 days 03:02:58.981000
Major,Bug,mpugachev,0,2,77.0,45,2,1102,1,0,2,0,4,5,13 days 10:58:08.258000
Critical,Bug,mpugachev,0,10,123.0,78,3,1101,1,0,2,0,3,5,112 days 06:57:55.374000
Major,Bug,jojenki,0,11,1229.0,29,2,1099,1,1,1,1,0,5,16 days 21:20:22.316000
Major,Bug,cutting,0,3,264.0,52,2,1098,1,0,0,0,0,5,1 days 23:40:21.300000
Major,Bug,thiru_mg,0,4,580.0,43,3,1097,1,1,0,0,0,5,2 days 14:49:47.171000
Major,Bug,dcreager,0,4,318.0,41,2,1096,1,0,1,0,6,5,0 days 00:05:11.504000
Minor,Improvement,thiru_mg,0,1,112.0,114,1,1095,1,0,0,0,5,5,1 days 13:53:43.045000
Major,Bug,ekohlwey,0,9,341.0,48,2,1094,1,1,2,0,3,5,1 days 03:32:13.766000
Major,Bug,catalinalexandru.zamfir@gameloft.com,0,1,2511.0,72,1,1093,0,0,2,0,2,5,1 days 03:56:09.745000
Critical,Bug,mpugachev,0,8,176.0,56,3,1092,1,0,2,0,2,5,4 days 03:45:24.788000
Minor,Improvement,vnadkarni,0,3,328.0,60,2,1091,1,0,1,0,1,5,4 days 20:46:29.871000
Major,Bug,catalinalexandru.zamfir@gameloft.com,0,11,2023.0,88,3,1090,0,0,1,0,0,5,3 days 08:41:29.008000
Major,Bug,vnadkarni,0,3,1100.0,63,1,1089,1,0,2,0,0,5,201 days 08:36:18.397000
Major,Improvement,vnadkarni,0,6,1745.0,64,2,1088,1,0,1,0,0,5,6 days 06:01:30.193000
Blocker,Bug,mpugachev,0,4,833.0,64,1,1087,1,0,1,0,5,5,9 days 01:22:10.964000
Critical,Bug,mpugachev,0,2,197.0,58,1,1086,1,0,2,0,5,5,8 days 03:28:12.922000
Major,New Feature,ewhauser,0,2,99.0,21,1,1085,1,0,1,0,4,5,4 days 17:56:06.533000
Major,Bug,mpugachev,0,3,161.0,68,1,1084,1,0,2,0,4,5,9 days 04:08:28.316000
Major,Bug,mpugachev,0,5,45.0,29,1,1083,1,0,2,0,4,5,9 days 05:15:00.006000
Major,Bug,mpugachev,0,2,146.0,39,2,1082,1,0,2,0,4,5,9 days 06:27:23.505000
Major,Bug,rfuller,0,8,607.0,54,5,1081,0,0,1,0,3,5,7 days 05:40:05.262000
Major,Bug,kehli,0,4,1982.0,51,0,1080,1,0,1,0,6,5,3 days 02:06:36.865000
Minor,Improvement,nurf,0,3,844.0,47,1,1079,1,0,2,0,4,5,11 days 19:38:42.996000
Major,Bug,nurf,0,2,127.0,50,1,1078,1,0,1,0,4,5,11 days 19:44:54.579000
Major,Bug,nurf,0,2,198.0,39,1,1077,1,0,2,0,4,5,11 days 19:40:09.259000
Major,Bug,kaykay.unique,0,3,54.0,41,1,1076,1,1,1,0,6,4,18 days 16:44:39.147000
Minor,Improvement,kaykay.unique,0,1,139.0,29,0,1075,1,0,1,0,6,4,9 days 17:12:54.159000
Major,Improvement,hernan.otero,0,4,464.0,40,2,1074,1,1,1,0,4,4,20 days 03:07:38.400000
Minor,Bug,jghoman,0,2,222.0,59,0,1071,1,1,1,0,0,4,15 days 01:26:22.632000
Major,Bug,thiru_mg,0,3,111.0,49,0,1070,1,1,0,0,6,4,16 days 18:45:00.362000
Major,Bug,thomasoa,0,4,913.0,85,1,1069,1,1,0,0,4,4,52 days 22:30:07.452000
Major,Improvement,thiru_mg,0,3,159.0,66,0,1068,1,1,1,0,4,4,2 days 06:41:48.156000
Major,Bug,dlord,0,9,6603.0,115,0,1066,0,0,1,0,3,4,22 days 18:04:02.832000
Major,Bug,kehli,0,5,642.0,62,0,1065,1,0,1,0,2,4,24 days 20:36:32.245000
Major,Improvement,kevinzhao,0,4,187.0,117,1,1062,1,1,1,1,1,4,29 days 12:50:40.801000
Major,Improvement,kaykay.unique,0,1,308.0,29,0,1060,0,0,1,0,6,4,1 days 00:40:16.604000
Major,Bug,kevinzhao,0,4,142.0,67,1,1056,1,1,1,0,4,4,34 days 19:18:21.166000
Minor,Bug,thiru_mg,0,3,333.0,42,0,1055,1,1,1,0,5,4,4 days 23:08:57.888000
Major,Bug,susanths,0,1,3933.0,72,1,1054,1,1,1,0,2,4,0 days 18:16:55.014000
Major,New Feature,nagav.ashish,0,13,134.0,36,4,1052,1,1,1,2,4,3,51 days 23:10:36.929000
Major,Bug,hasghari,1,4,418.0,61,2,1051,1,1,1,1,1,3,50 days 01:53:45.216000
Major,Bug,abawany,0,8,708.0,81,2,1050,1,0,4,1,4,3,56 days 06:31:47.302000
Minor,Bug,adwkenworthy,0,3,1234.0,80,1,1049,1,1,1,0,4,3,54 days 08:37:14.318000
Major,Bug,dcreager,1,3,298.0,44,0,1048,1,0,1,0,3,3,36 days 23:18:25.721000
Minor,Bug,gabriel.reid,0,6,964.0,82,2,1046,1,1,1,0,4,3,62 days 07:01:15.504000
Minor,Bug,jeremy@lewi.us,0,9,1084.0,37,0,1045,1,1,1,0,2,3,2 days 05:46:15.527000
Trivial,Improvement,qwertymaniac,0,1,247.0,59,1,1043,1,1,1,1,4,3,63 days 23:00:00.572000
Trivial,Improvement,lewismc,0,2,130.0,49,1,1042,0,0,0,1,1,3,0 days 04:16:31.788000
Minor,Bug,irvingd,0,2,1427.0,43,0,1041,1,1,1,0,3,3,1 days 00:17:47.262000
Minor,Bug,vnadkarni,0,2,1303.0,79,0,1039,1,0,1,0,2,2,0 days 18:35:04.972000
Major,Bug,vnadkarni,0,2,792.0,108,0,1038,1,0,1,0,2,2,0 days 19:41:55.303000
Major,Bug,scott_carey,0,4,682.0,51,1,1037,1,1,1,0,3,2,0 days 23:49:44.767000
Major,Bug,gffletch,1,11,249.0,52,2,1036,1,1,1,0,3,2,1 days 05:58:28.042000
Major,New Feature,detonator413,0,3,955.0,54,3,1035,0,0,0,0,2,2,350 days 08:34:59.396000
Major,Bug,vnadkarni,0,7,921.0,95,0,1034,1,0,1,0,2,2,8 days 00:10:29.895000
Major,Bug,vnadkarni,0,3,2195.0,72,0,1033,1,0,1,0,6,2,9 days 02:40:54.532000
Minor,Bug,dcreager,0,2,431.0,48,0,1031,1,0,1,0,2,2,13 days 23:22:20.750000
Minor,Bug,janhoy,0,2,106.0,26,0,1030,0,0,0,1,1,2,7 days 23:33:23.715000
Major,Bug,swilkinson,0,17,4634.0,87,0,1027,1,1,1,0,4,2,20 days 23:18:21.644000
Minor,Bug,raymie,0,8,172.0,49,1,1021,1,0,0,0,2,2,1 days 15:52:44.653000
Major,Bug,jbaldassari,0,4,1002.0,61,0,1020,1,1,1,0,1,2,0 days 15:24:56.939000
Minor,Improvement,jbaldassari,0,3,140.0,51,0,1019,1,1,1,0,1,2,0 days 22:01:55.025000
Trivial,Improvement,scott_carey,0,3,83.0,92,0,1018,0,0,1,0,1,2,0 days 21:59:07.009000
Trivial,Bug,koert,0,6,283.0,30,0,1016,1,1,1,0,5,2,3 days 06:23:11.731000
Major,Improvement,thiru_mg,0,3,1249.0,61,0,1015,1,0,0,0,5,2,5 days 04:35:41.167000
Major,Bug,lmartinking,0,2,234.0,59,0,1014,1,0,0,1,1,1,1 days 16:32:08.916000
Blocker,Bug,jbaldassari,0,6,1803.0,46,0,1013,1,1,1,0,0,1,9 days 03:39:49.130000
Minor,Improvement,lars_francke,0,6,256.0,50,0,1012,1,1,1,0,4,1,12 days 02:42:23.685000
Minor,Improvement,lars_francke,0,9,737.0,21,0,1011,1,1,1,0,4,1,11 days 02:15:59.003000
Minor,Improvement,lars_francke,0,3,256.0,92,1,1010,1,0,1,0,2,1,13 days 09:42:55.265000
Major,Improvement,jbaldassari,0,7,1148.0,78,3,1008,0,0,1,1,2,1,330 days 11:03:26.447000
Major,Bug,jbaldassari,0,20,693.0,76,0,1007,0,0,1,1,2,1,14 days 15:01:25.675000
Major,New Feature,raymie,0,40,155.0,29,12,1006,1,1,0,1,2,1,42 days 14:20:42.315000
Minor,Improvement,craigtlandry,0,4,0.0,51,0,1005,1,1,1,1,1,1,14 days 01:08:36.989000
Major,Bug,dcreager,0,2,242.0,50,0,1004,1,0,1,0,1,1,1 days 21:47:52.488000
Major,Bug,dcreager,0,2,550.0,61,0,1003,1,0,1,0,1,1,1 days 21:51:32.501000
Major,Bug,hammer,0,1,350.0,28,1,1002,0,0,0,0,1,1,0 days 15:25:27.881000
Major,Improvement,shaunw,0,11,406.0,44,0,1001,1,1,1,1,4,1,17 days 11:33:52.071000
Major,Bug,slebresne,0,3,352.0,52,1,1000,1,1,0,0,4,1,3 days 12:43:36.008000
Major,Bug,jrutten,1,6,896.0,43,1,999,1,1,1,0,3,1,35 days 02:04:13.701000
Major,Bug,nimeshs,0,4,338.0,117,1,998,1,1,1,0,2,1,0 days 04:12:46.157000
Critical,Bug,scott_carey,0,10,195.0,80,0,996,1,1,2,0,1,1,21 days 00:40:02.984000
Major,Improvement,scott_carey,0,12,3154.0,35,1,995,0,0,0,0,1,1,22 days 15:42:21.362000
Minor,Bug,jbaldassari,0,6,958.0,57,0,994,1,1,2,0,0,1,1 days 07:08:14.793000
Major,Bug,jbaldassari,0,6,429.0,68,0,993,1,1,2,0,0,1,1 days 11:54:35.951000
Major,Improvement,scott_carey,0,5,562.0,85,3,988,1,1,1,0,3,1,328 days 23:11:25.905000
Critical,Bug,mic159,1,12,1195.0,79,1,986,2,1,0,4,3,12,35 days 12:39:43.803000
Major,Bug,vnadkarni,0,6,1729.0,83,0,984,1,0,3,0,0,12,7 days 16:07:15.943000
Major,Improvement,torcq,0,10,2743.0,107,4,983,1,1,1,0,0,12,329 days 16:25:34.862000
Minor,Improvement,bruno,0,4,1468.0,53,0,982,1,1,0,0,3,12,1 days 05:14:17.629000
Blocker,Bug,russell.jurney,1,20,8984.0,50,6,981,1,0,2,5,3,12,296 days 14:00:05.442000
Minor,Bug,mic159,0,6,662.0,50,0,980,1,0,1,2,1,12,57 days 23:59:41.579000
Major,Bug,pdlug,0,2,580.0,51,1,979,1,0,1,0,1,12,434 days 06:27:25.937000
Major,Bug,cutting,0,3,0.0,50,0,978,1,1,0,0,0,12,0 days 19:13:10.635000
Minor,Improvement,hasghari,0,2,51.0,48,0,977,1,1,0,0,0,12,0 days 01:30:57.734000
Minor,Improvement,bruno,0,1,481.0,46,0,976,1,1,0,0,0,12,0 days 07:42:14.353000
Minor,Bug,brandonb,0,6,1290.0,85,1,972,1,1,1,0,3,12,1 days 14:08:37.037000
Minor,Improvement,vchau,0,9,1112.0,33,0,971,1,1,1,1,3,12,62 days 21:42:43.266000
Major,Improvement,nimmervoll,0,5,109.0,48,3,970,1,1,1,1,4,12,413 days 05:51:40.819000
Minor,Bug,vnadkarni,0,8,969.0,82,0,968,1,0,3,0,4,12,53 days 11:16:02.940000
Major,Bug,detonator413,0,1,2284.0,70,1,967,1,1,1,0,2,11,0 days 00:11:59.990000
Major,Bug,detonator413,0,7,2284.0,70,2,966,1,1,1,0,2,11,7 days 09:49:53.916000
Minor,Improvement,gffletch,0,11,325.0,69,0,965,1,1,1,0,1,11,10 days 00:08:23.768000
Major,Improvement,kehli,2,12,1112.0,28,5,1026,1,0,1,1,4,2,99 days 20:09:30.884000
Major,New Feature,hammer,0,8,126.0,31,5,974,1,0,0,0,0,12,785 days 11:59:34.218000
Major,New Feature,scott_carey,0,0,36.0,41,1,958,0,0,0,0,1,11,0 days 01:35:11.740000
Major,New Feature,lmartinking,1,8,854.0,29,5,957,1,0,0,3,0,11,28 days 19:33:46.942000
Major,New Feature,lmartinking,2,9,94.0,29,3,896,1,0,1,2,1,9,668 days 12:23:40.348000
Major,New Feature,joecrobak,1,9,455.0,53,4,867,1,1,1,0,3,7,634 days 00:01:18.105000
Minor,Improvement,gffletch,0,7,275.0,69,1,963,1,1,1,0,0,11,7 days 03:05:18.098000
Minor,Bug,gffletch,0,2,253.0,79,0,962,1,1,1,0,0,11,7 days 06:07:13.104000
Trivial,Improvement,mic159,0,5,171.0,52,1,961,1,0,1,4,0,11,21 days 19:47:29.033000
Minor,Improvement,lmartinking,1,6,305.0,34,1,960,1,0,1,2,4,11,18 days 15:33:55.084000
Major,Improvement,thiru_mg,0,5,549.0,31,0,956,1,0,1,0,0,11,87 days 04:41:02.350000
Minor,Bug,nsabovic,0,2,152.0,26,0,954,1,0,1,1,0,11,167 days 05:49:16.038000
Minor,Improvement,craigtlandry,0,5,141.0,20,1,953,1,0,0,1,4,11,33 days 03:32:25.759000
Major,Bug,nsabovic,0,3,199.0,54,0,952,1,0,1,2,4,11,170 days 09:17:10.224000
Blocker,Bug,puredanger,0,13,3116.0,84,1,951,1,1,1,0,3,11,0 days 23:35:46.093000
Major,Bug,mic159,0,2,466.0,50,0,950,1,0,1,3,3,11,1 days 15:02:24.223000
Major,Bug,cutting,0,3,73.0,45,0,948,1,1,0,0,4,10,0 days 03:54:12.969000
Major,Improvement,hernan.otero,0,16,3044.0,50,0,946,1,1,1,0,3,10,7 days 23:30:03.825000
Major,Bug,thiru_mg,0,3,200.0,41,0,945,1,0,0,0,3,10,0 days 22:22:27.797000
Major,Bug,cutting,0,4,139.0,47,0,944,1,1,1,0,1,10,3 days 05:51:12.564000
Major,Bug,cutting,0,13,67.0,44,0,943,1,1,0,0,1,10,7 days 02:50:44.338000
Major,Bug,decster,0,1,67.0,68,0,942,1,1,0,0,6,10,1 days 14:33:30.933000
Major,Improvement,massie,0,5,895.0,74,0,941,1,1,1,0,5,10,6 days 00:13:37.685000
Major,Improvement,thiru_mg,0,1,497.0,45,0,940,1,0,0,0,4,10,0 days 09:44:35.647000
Minor,Improvement,thiru_mg,0,1,64.0,36,0,938,1,0,0,0,2,10,0 days 12:09:20.017000
Minor,Improvement,thiru_mg,0,1,169.0,60,0,937,1,0,0,0,2,10,0 days 15:44:35.883000
Major,Bug,thiru_mg,0,4,164.0,38,0,936,1,1,1,0,2,10,1 days 02:05:26.977000
Blocker,Improvement,scott_carey,0,10,65.0,34,0,935,1,1,0,0,0,10,6 days 01:31:36.657000
Major,Improvement,abawany,0,3,915.0,94,0,934,1,0,1,2,0,10,0 days 03:25:28.966000
Major,Bug,thiru_mg,0,1,287.0,52,0,933,1,0,1,0,0,10,0 days 02:45:31.418000
Major,Improvement,thiru_mg,0,1,0.0,64,0,932,1,0,0,0,6,10,0 days 12:11:09.710000
Major,Bug,thiru_mg,0,1,0.0,60,1,931,1,0,0,0,6,10,0 days 12:17:03.808000
Blocker,Bug,vnadkarni,0,6,2817.0,42,0,930,1,0,1,0,5,10,8 days 14:39:57.809000
Major,Bug,dcreager,0,1,428.0,42,0,929,1,0,1,0,5,10,0 days 00:05:28.393000
Minor,Bug,vnadkarni,0,2,254.0,48,0,928,1,0,1,1,4,10,0 days 13:57:58.457000
Major,Bug,brocknoland,0,2,588.0,64,2,927,1,1,1,0,4,10,3 days 05:27:05.668000
Major,Improvement,cutting,0,3,125.0,26,1,926,1,1,0,0,2,10,103 days 00:28:23.079000
Major,Bug,nsabovic,0,2,320.0,53,0,925,1,0,1,1,2,10,1 days 06:04:31.514000
Major,New Feature,cutting,0,3,292.0,59,0,924,1,1,0,0,2,10,5 days 00:51:41.456000
Major,New Feature,dcreager,0,2,105.0,36,0,922,1,0,1,0,0,10,4 days 23:42:28.294000
Major,New Feature,dcreager,0,2,424.0,52,0,921,1,0,1,0,0,10,4 days 23:46:00.690000
Major,New Feature,dcreager,0,2,330.0,27,0,920,1,0,1,0,0,10,4 days 23:49:01.747000
Major,New Feature,dcreager,0,2,127.0,36,0,919,1,0,1,0,0,10,4 days 23:47:59.670000
Major,Improvement,thiru_mg,0,4,156.0,34,0,918,1,0,0,0,5,10,8 days 17:47:04.868000
Major,Bug,thiru_mg,0,4,381.0,79,0,917,1,0,0,0,5,10,3 days 23:43:50.641000
Major,Bug,thiru_mg,0,2,169.0,53,0,916,1,0,0,0,5,10,4 days 00:21:12.348000
Major,Improvement,thiru_mg,0,3,125.0,39,0,915,1,0,0,0,5,10,4 days 04:17:50.482000
Major,Bug,philip,0,2,933.0,74,0,914,1,1,0,0,4,10,0 days 13:22:34.294000
Major,Bug,nsabovic,0,4,233.0,50,0,913,1,0,1,1,3,10,5 days 20:01:29.382000
Major,Bug,thiru_mg,0,3,489.0,38,0,912,1,1,0,0,3,10,0 days 21:32:05.307000
Major,Improvement,cutting,0,14,708.0,34,2,911,1,1,0,0,2,10,1 days 20:16:58.708000
Major,Improvement,cutting,0,3,353.0,33,0,910,1,1,0,0,2,10,0 days 00:28:24.825000
Major,Sub-task,cutting,0,1,553.0,92,0,909,1,1,0,0,2,10,1 days 22:36:19.431000
Major,New Feature,nsabovic,0,4,200.0,50,0,908,1,0,1,1,2,10,3 days 11:31:55.068000
Major,Improvement,cutting,0,3,99.0,36,0,907,1,1,0,0,1,10,0 days 19:50:53.497000
Major,Bug,dkaminsky,1,3,361.0,37,1,906,1,1,0,0,1,10,0 days 20:54:46.109000
Minor,Improvement,yangyangyyy,0,6,1586.0,63,0,905,1,1,0,0,1,10,0 days 23:39:19.695000
Major,Bug,nsabovic,0,1,152.0,62,0,904,1,0,1,1,1,10,2 days 15:04:18.405000
Major,Bug,nsabovic,0,2,187.0,45,0,903,1,0,1,1,1,10,2 days 14:57:02.910000
Major,Bug,nsabovic,0,2,275.0,41,0,902,1,0,1,1,1,10,2 days 19:19:58.919000
Major,Bug,thiru_mg,0,3,169.0,88,0,901,1,1,0,0,6,10,3 days 01:15:54.844000
Major,Bug,thiru_mg,0,2,114.0,59,0,900,1,1,0,0,5,10,4 days 00:23:46.375000
Major,Improvement,cutting,0,3,71.0,61,1,899,1,0,0,0,1,9,2 days 05:22:44.263000
Critical,Bug,vadimtsarik,0,7,389.0,31,4,898,1,1,1,0,1,9,6 days 03:51:38.343000
Major,Bug,gwu,0,3,357.0,42,0,897,1,1,1,0,1,9,10 days 18:15:51.901000
Major,Bug,tomwhite,0,8,392.0,69,0,895,1,1,1,1,0,9,5 days 17:45:29.570000
Major,Bug,dcreager,0,3,633.0,44,0,894,1,0,2,0,6,9,0 days 00:18:13.169000
Major,Improvement,lmartinking,1,2,468.0,99,0,893,1,0,1,1,4,9,3 days 09:18:11.778000
Major,Bug,mic159,0,2,1233.0,63,1,892,1,0,1,0,2,9,1 days 16:15:24.781000
Major,Improvement,alex.holmes,0,7,2707.0,69,0,891,1,1,1,0,1,9,2 days 08:26:18.532000
Minor,Improvement,sgargan,0,9,1277.0,51,0,890,1,1,1,2,6,9,8 days 19:05:53.943000
Major,Improvement,cutting,0,4,114.0,66,0,889,1,1,0,0,4,9,2 days 20:36:00.365000
Major,Improvement,saleemshafi,0,5,231.0,44,0,888,1,1,1,0,4,9,4 days 18:10:54.548000
Trivial,Improvement,cwilkes,0,3,704.0,48,0,887,1,1,1,0,3,9,12 days 21:08:43.685000
Major,Improvement,gffletch,0,20,1102.0,63,1,886,1,1,1,0,3,9,12 days 00:49:03.060000
Major,Bug,tomwhite,0,3,228.0,53,0,884,1,1,2,0,1,9,1 days 01:14:41.879000
Major,New Feature,tomwhite,0,5,117.0,35,0,881,1,1,0,0,1,8,21 days 23:20:28.167000
Critical,Task,tucu00,0,2,366.0,29,0,880,1,0,1,0,1,8,2 days 01:25:11.267000
Major,Bug,cutting,0,2,80.0,25,0,879,1,1,0,0,0,8,3 days 05:22:11.980000
Major,Test,jeremy@lewi.us,0,15,160.0,38,0,878,1,1,1,0,3,8,55 days 07:08:57.028000
Major,Improvement,billgraham,0,6,962.0,54,1,877,1,1,0,0,1,8,8 days 22:34:21.953000
Critical,Task,tucu00,0,4,455.0,51,0,876,1,0,1,0,0,8,8 days 03:37:42.458000
Major,New Feature,billgraham,0,3,116.0,47,0,875,1,1,0,0,0,8,1 days 05:35:46.012000
Major,Improvement,cutting,0,3,217.0,55,0,874,1,1,0,0,3,8,41 days 00:15:24.537000
Major,Improvement,marmbrus,0,4,651.0,71,1,873,1,1,0,0,2,8,1 days 17:18:53.874000
Major,Improvement,billgraham,0,26,851.0,49,0,872,1,1,0,0,1,8,3 days 00:15:03.518000
Major,Bug,billgraham,0,1,148.0,45,0,871,1,0,0,0,1,8,59 days 00:32:06.842000
Major,Bug,thiru_mg,0,3,447.0,63,0,869,1,0,0,0,2,8,70 days 11:03:27.306000
Blocker,Bug,puredanger,0,7,3413.0,65,1,868,1,1,1,0,0,8,14 days 21:16:46.140000
Major,New Feature,joecrobak,0,5,227.0,30,2,866,1,0,0,0,3,7,41 days 01:49:12.691000
Major,Improvement,dcreager,0,2,415.0,22,0,865,1,0,2,0,1,7,61 days 02:14:35.003000
Major,Bug,isabel,0,4,432.0,82,0,864,1,1,0,0,6,7,3 days 02:27:59.246000
Major,New Feature,dcreager,0,2,829.0,43,0,863,1,0,1,0,4,7,65 days 15:48:39.086000
Minor,Bug,dcreager,0,2,301.0,41,0,861,1,0,1,0,3,7,0 days 01:47:24.077000
Major,Bug,tebeka,0,16,1478.0,51,3,860,1,1,1,3,3,7,427 days 01:31:12.901000
Major,Improvement,tebeka,0,5,144.0,55,1,858,0,0,0,2,3,7,67 days 05:18:15.110000
Minor,Improvement,jendap,0,1,189.0,25,0,857,1,1,0,0,6,7,14 days 21:24:06.607000
Major,Improvement,cutting,0,3,221.0,26,0,856,1,1,1,0,3,7,4 days 00:46:34.675000
Minor,New Feature,jeremy@lewi.us,1,4,327.0,80,1,854,1,0,1,0,2,7,201 days 01:57:26.132000
Major,Improvement,dkaminsky,0,34,460.0,36,1,853,1,1,1,0,2,7,37 days 00:16:02.136000
Major,Bug,jmesnil,0,4,279.0,40,2,851,1,1,1,0,2,7,435 days 13:15:29.060000
Major,Improvement,h2o,0,1,3617.0,57,0,848,1,1,1,0,4,7,145 days 14:13:44.418000
Minor,Test,jeremy@lewi.us,0,4,2835.0,40,0,847,1,1,1,1,3,6,0 days 20:17:55.058000
Major,Bug,puredanger,0,2,1028.0,91,0,846,1,1,1,0,3,6,60 days 12:02:23.405000
Major,Bug,tebeka,0,3,109.0,38,0,845,1,0,1,1,2,6,1 days 03:03:39.478000
Major,Improvement,billgraham,0,5,224.0,35,0,844,1,1,1,0,1,6,3 days 19:30:13.398000
Major,Bug,h2o,0,14,639.0,61,0,842,1,1,1,0,4,6,7 days 03:39:21.244000
Minor,Improvement,waterdragon,0,3,126.0,43,0,841,1,1,0,0,3,6,1 days 05:48:11.702000
Critical,Improvement,ramanasv,1,3,1458.0,63,2,840,1,0,0,1,3,6,117 days 19:45:50.635000
Major,Improvement,jbaldassari,0,33,3497.0,91,4,839,1,1,0,0,3,6,71 days 16:21:12.116000
Major,Improvement,kkrugler,0,5,367.0,100,0,838,1,1,2,0,4,6,19 days 20:09:44.823000
Major,New Feature,dcreager,0,5,447.0,24,0,837,1,0,1,0,1,6,36 days 10:37:21.184000
Major,New Feature,tebeka,0,13,121.0,67,3,836,1,0,0,2,5,6,17 days 08:12:36.430000
Major,Bug,ewhauser,1,5,417.0,34,0,835,1,0,0,0,5,6,186 days 21:29:20.248000
Minor,Bug,tebeka,0,4,216.0,40,0,833,1,0,0,1,1,5,0 days 01:46:32.145000
Major,Bug,cutting,0,4,68.0,68,1,832,1,1,0,0,1,5,2 days 01:34:41.457000
Major,New Feature,tomwhite,0,2,198.0,61,0,830,1,1,0,0,3,5,3 days 14:12:17.304000
Major,Improvement,dbritsch,0,2,547.0,74,0,828,1,1,1,5,2,5,0 days 19:02:01.958000
Minor,Improvement,dona,0,4,256.0,48,0,826,1,0,0,0,4,5,9 days 19:06:58.077000
Blocker,Bug,ramanasv,0,6,5006.0,83,0,825,1,0,1,0,3,5,43 days 03:16:46.522000
Trivial,Bug,david206,0,2,116.0,48,2,824,1,1,0,1,2,5,42 days 12:55:35.249000
Major,Bug,patrickangeles,0,5,245.0,26,0,822,2,1,1,0,1,5,0 days 11:30:19.819000
Major,New Feature,awick,0,8,43.0,20,2,821,1,0,1,0,0,5,169 days 00:17:57.678000
Critical,Bug,scott_carey,0,10,365.0,109,0,820,1,1,3,0,4,5,5 days 19:21:12.512000
Major,Bug,dcreager,0,2,302.0,56,0,819,1,0,1,0,3,5,0 days 00:52:42.094000
Major,Bug,dcreager,0,3,689.0,42,0,818,1,0,1,0,3,5,0 days 01:29:48.536000
Minor,Bug,sgargan,0,4,400.0,51,0,815,1,1,1,2,1,5,0 days 00:14:38.746000
Major,Bug,stuhood,0,4,277.0,59,0,814,1,1,0,0,4,4,4 days 19:10:56.988000
Minor,Improvement,h2o,0,11,209.0,40,0,812,1,1,1,0,2,4,2 days 12:53:35.347000
Minor,Task,alambert,0,2,192.0,37,0,811,1,0,1,0,1,4,6 days 20:43:49.149000
Minor,Improvement,ewhauser,0,6,123.0,34,1,810,1,0,0,0,5,4,69 days 16:02:09.860000
Major,Bug,decster,0,2,239.0,66,0,809,1,1,1,0,4,4,26 days 01:52:13.638000
Major,New Feature,tomwhite,0,4,212.0,61,0,808,1,1,0,0,3,4,5 days 16:07:22.819000
Major,New Feature,dona,0,3,383.0,62,0,807,1,0,0,0,2,4,0 days 01:37:16.379000
Major,New Feature,cutting,6,40,143.0,30,33,806,2,1,0,0,1,4,510 days 22:16:49.707000
Major,New Feature,cutting,0,6,267.0,53,5,805,1,1,0,0,1,4,145 days 21:14:45.402000
Major,New Feature,cutting,0,19,252.0,49,7,804,1,1,0,0,1,4,167 days 22:52:06.548000
Major,Improvement,spullara,2,17,583.0,66,8,803,1,1,1,0,2,4,181 days 03:32:18.927000
Major,Improvement,cutting,0,3,165.0,65,1,802,1,1,0,0,1,4,6 days 22:35:44.809000
Major,Bug,nrc,0,4,127.0,28,0,801,1,1,2,0,4,4,12 days 15:06:00.367000
Major,Improvement,cutting,0,2,47.0,39,0,799,1,1,0,0,2,4,12 days 21:41:13.799000
Major,Improvement,cutting,0,6,360.0,29,0,798,2,1,0,0,2,4,12 days 22:43:07.683000
Minor,Bug,dkaminsky,0,4,116.0,37,0,796,1,1,1,0,1,4,99 days 17:16:00.523000
Major,Improvement,thiru_mg,0,3,309.0,59,0,795,1,0,1,0,0,4,0 days 22:27:57.517000
Minor,Improvement,thiru_mg,0,3,95.0,40,0,794,1,0,1,0,0,4,0 days 22:36:16.363000
Critical,Bug,ygnhzeus,0,3,4511.0,83,1,793,1,1,1,4,3,3,29 days 16:23:07.732000
Blocker,Bug,eychih,0,32,5722.0,68,1,792,1,1,2,0,2,3,91 days 21:35:27.521000
Major,Wish,xiaoluye,1,11,440.0,102,0,791,1,1,1,0,2,3,30 days 03:37:46.160000
