status,priority,updated,issue_type,reporter,created,resolutiondate,vote_count,project,assignee,comment_count,key,description_length,summary_length,watch_count,resolution,days_in_current_status,issue_number,num_components,component_java,num_affected_versions,num_labels,created_weekday,created_month,duration
Closed,Major,2013-08-20 17:46:08.792000+00:00,Bug,cutting,2013-05-06 20:24:05.706000+00:00,2013-05-08 17:36:05.849000+00:00,0,AVRO,cutting,8,AVRO-1320,161.0,46,2,Fixed,180.993349537,1320,1,1,0,0,0,5,1 days 21:12:00.143000
Closed,Major,2013-08-20 17:46:07.445000+00:00,New Feature,cutting,2013-05-06 20:10:29.618000+00:00,2013-05-09 20:57:58.464000+00:00,0,AVRO,cutting,3,AVRO-1319,235.0,32,2,Fixed,180.993365129,1319,1,1,0,0,0,5,3 days 00:47:28.846000
Closed,Minor,2013-08-20 17:46:05.901000+00:00,Improvement,scott_carey,2013-04-30 19:39:39.970000+00:00,2013-05-15 21:00:35.147000+00:00,0,AVRO,scott_carey,5,AVRO-1314,119.0,49,2,Fixed,180.993383003,1314,1,1,0,0,1,4,15 days 01:20:55.177000
Closed,Major,2013-08-20 17:46:04.624000+00:00,Bug,scott_carey,2013-04-29 21:54:48.511000+00:00,2013-05-21 04:08:08.710000+00:00,0,AVRO,scott_carey,4,AVRO-1311,300.0,45,2,Fixed,180.993397784,1311,0,0,1,0,0,4,21 days 06:13:20.199000
Closed,Major,2013-08-20 17:46:08.521000+00:00,Bug,szesch,2013-04-22 17:23:50.961000+00:00,2013-04-23 17:08:09.819000+00:00,0,AVRO,cutting,4,AVRO-1309,835.0,51,3,Fixed,180.993352682,1309,1,1,1,0,0,4,0 days 23:44:18.858000
Closed,Major,2013-08-20 17:46:08.249000+00:00,Bug,szesch,2013-04-22 16:42:04.205000+00:00,2013-04-23 20:17:04.436000+00:00,0,AVRO,szesch,7,AVRO-1308,424.0,41,3,Fixed,180.993355831,1308,1,1,0,0,0,4,1 days 03:35:00.231000
Closed,Minor,2013-08-20 17:46:07.307000+00:00,New Feature,vince83,2013-04-22 16:34:35.078000+00:00,2013-04-26 22:12:47.311000+00:00,0,AVRO,vince83,7,AVRO-1307,1206.0,51,4,Fixed,180.993366735,1307,1,1,0,0,0,4,4 days 05:38:12.233000
Closed,Minor,2013-08-20 17:46:08.942000+00:00,Improvement,minaguib,2013-04-21 23:36:27.303000+00:00,2013-04-25 13:51:50.658000+00:00,0,AVRO,minaguib,7,AVRO-1306,171.0,72,4,Fixed,180.993347651,1306,1,1,1,2,6,4,3 days 14:15:23.355000
Closed,Major,2013-08-20 17:46:05.357000+00:00,Bug,kryzthov,2013-04-18 06:31:26.503000+00:00,2013-04-22 19:51:57.697000+00:00,0,AVRO,kryzthov,4,AVRO-1300,799.0,115,3,Fixed,180.993389308,1300,1,1,1,0,3,4,4 days 13:20:31.194000
Closed,Major,2013-08-20 17:46:05.209000+00:00,Bug,cutting,2013-04-10 18:33:45.707000+00:00,2013-04-16 23:26:19.576000+00:00,0,AVRO,cutting,5,AVRO-1295,221.0,60,2,Fixed,180.993391022,1295,1,1,0,0,2,4,6 days 04:52:33.869000
Closed,Major,2013-08-20 17:46:06.318000+00:00,New Feature,martinkl,2013-04-03 04:51:12.380000+00:00,2013-04-13 04:51:42.570000+00:00,0,AVRO,martinkl,5,AVRO-1288,158.0,41,3,Fixed,180.993378188,1288,1,0,0,0,2,4,10 days 00:00:30.190000
Closed,Major,2013-08-20 17:46:05.503000+00:00,Bug,martinkl,2013-03-10 17:28:54.906000+00:00,2013-03-19 15:45:15.927000+00:00,0,AVRO,martinkl,4,AVRO-1272,382.0,56,3,Fixed,180.993387611,1272,1,0,1,0,6,3,8 days 22:16:21.021000
Resolved,Minor,2013-04-13 01:11:13.770000+00:00,Improvement,sujesh.chirackkal,2013-04-13 00:51:31.334000+00:00,2013-04-13 01:11:13.751000+00:00,0,AVRO,,0,AVRO-1298,189.0,40,1,Invalid,310.68426414,1298,1,1,2,0,5,4,0 days 00:19:42.417000
Resolved,Major,2013-06-13 19:40:41.706000+00:00,Bug,drussel,2013-04-04 22:27:54.204000+00:00,2013-06-13 19:03:14.849000+00:00,0,AVRO,drussel,6,AVRO-1290,186.0,61,4,Fixed,248.939807061,1290,1,0,1,0,3,4,69 days 20:35:20.645000
Resolved,Minor,2013-04-23 16:42:43.825000+00:00,Improvement,romixlev,2013-03-21 16:51:19.457000+00:00,2013-04-23 16:42:43.804000+00:00,0,AVRO,,21,AVRO-1277,562.0,51,3,Duplicate,300.037388518,1277,1,1,1,0,3,3,32 days 23:51:24.347000
Resolved,Major,2013-03-06 18:55:05.930000+00:00,Bug,ahanna,2013-03-06 16:47:27.034000+00:00,2013-03-06 18:55:05.880000+00:00,0,AVRO,,1,AVRO-1271,2105.0,45,2,Later,347.945465966,1271,2,1,1,0,2,3,0 days 02:07:38.846000
Resolved,Major,2013-02-28 23:05:14.592000+00:00,Bug,cutting,2013-02-28 17:19:04.554000+00:00,2013-02-28 23:05:14.566000+00:00,0,AVRO,cutting,0,AVRO-1264,139.0,54,1,Duplicate,353.771754337,1264,1,0,0,0,3,2,0 days 05:46:10.012000
Closed,Major,2013-02-27 00:54:05.060000+00:00,Bug,martinkl,2013-02-19 16:19:33.683000+00:00,2013-02-19 23:14:28.828000+00:00,0,AVRO,martinkl,4,AVRO-1258,150.0,47,3,Fixed,355.696170544,1258,1,0,1,0,1,2,0 days 06:54:55.145000
Closed,Major,2013-02-27 00:54:04.029000+00:00,Bug,martinkl,2013-02-19 15:36:57.582000+00:00,2013-02-19 23:11:31.020000+00:00,0,AVRO,martinkl,4,AVRO-1257,440.0,41,3,Fixed,355.696182467,1257,1,0,1,0,1,2,0 days 07:34:33.438000
Closed,Minor,2013-02-27 00:54:00.758000+00:00,Improvement,trochee,2013-02-14 19:43:46.401000+00:00,2013-02-14 22:19:39.646000+00:00,0,AVRO,trochee,6,AVRO-1255,709.0,75,3,Fixed,355.696220329,1255,1,0,1,1,3,2,0 days 02:35:53.245000
Closed,Minor,2013-02-27 00:54:00.334000+00:00,Improvement,ted.m,2013-02-14 15:12:43.818000+00:00,2013-02-19 17:15:37.533000+00:00,0,AVRO,ted.m,7,AVRO-1254,312.0,37,3,Fixed,355.696225249,1254,0,0,0,0,3,2,5 days 02:02:53.715000
Closed,Minor,2013-02-27 00:53:59.629000+00:00,Improvement,ted.m,2013-02-14 13:57:25.019000+00:00,2013-02-14 20:48:10.345000+00:00,0,AVRO,ted.m,3,AVRO-1253,478.0,42,3,Fixed,355.696233399,1253,0,0,1,0,3,2,0 days 06:50:45.326000
Closed,Minor,2013-02-27 00:54:02.281000+00:00,New Feature,cutting,2013-02-12 21:58:57.724000+00:00,2013-02-19 23:22:48.819000+00:00,0,AVRO,cutting,5,AVRO-1252,283.0,55,2,Fixed,355.696202706,1252,1,1,0,0,1,2,7 days 01:23:51.095000
Closed,Minor,2013-02-27 00:53:58.777000+00:00,Bug,ted.m,2013-02-12 01:53:56.165000+00:00,2013-02-14 22:26:37.200000+00:00,0,AVRO,ted.m,12,AVRO-1251,433.0,49,4,Fixed,355.696243263,1251,1,1,1,0,1,2,2 days 20:32:41.035000
Closed,Major,2013-02-27 00:54:04.857000+00:00,New Feature,njw45,2013-02-11 15:27:44.916000+00:00,2013-02-12 22:28:21.305000+00:00,0,AVRO,njw45,4,AVRO-1250,333.0,51,3,Fixed,355.696172894,1250,1,1,1,1,0,2,1 days 07:00:36.389000
Closed,Major,2013-02-27 00:54:02.484000+00:00,Bug,esammer,2013-02-11 02:32:16.658000+00:00,2013-02-12 23:28:50.970000+00:00,0,AVRO,esammer,6,AVRO-1249,779.0,53,3,Fixed,355.696200361,1249,1,1,1,0,0,2,1 days 20:56:34.312000
Closed,Minor,2013-02-27 00:54:04.234000+00:00,Improvement,gareth@logicalpractice.com,2013-02-10 16:04:26.281000+00:00,2013-02-10 19:02:31.920000+00:00,0,AVRO,gareth@logicalpractice.com,5,AVRO-1248,265.0,65,3,Fixed,355.696180119,1248,1,1,0,0,6,2,0 days 02:58:05.639000
Closed,Major,2013-02-27 00:53:59.004000+00:00,Bug,chengas123,2013-02-10 00:07:01.082000+00:00,2013-02-14 21:29:29.194000+00:00,0,AVRO,cutting,5,AVRO-1247,1097.0,37,3,Fixed,355.69624063,1247,1,1,1,1,6,2,4 days 21:22:28.112000
Resolved,Minor,2013-02-07 16:53:01.150000+00:00,Improvement,qwertymaniac,2013-02-07 16:51:53.721000+00:00,2013-02-07 16:53:01.117000+00:00,0,AVRO,,1,AVRO-1244,1626.0,78,1,Invalid,375.03024354,1244,1,1,0,0,3,2,0 days 00:01:07.396000
Closed,Minor,2013-02-27 00:54:01.817000+00:00,Improvement,ted.m,2013-02-07 12:22:30.069000+00:00,2013-02-12 23:23:26.284000+00:00,0,AVRO,ted.m,21,AVRO-1243,769.0,39,4,Fixed,355.696208078,1243,1,1,1,0,3,2,5 days 11:00:56.215000
Closed,Major,2013-02-27 00:54:04.441000+00:00,Bug,ted.m,2013-02-06 15:32:50.023000+00:00,2013-02-07 17:07:10.989000+00:00,1,AVRO,ted.m,8,AVRO-1242,411.0,52,5,Fixed,355.696177721,1242,0,0,1,0,2,2,1 days 01:34:20.966000
Closed,Major,2013-02-27 00:54:02.045000+00:00,Improvement,jadler,2013-02-01 20:38:58.129000+00:00,2013-02-04 21:59:37.119000+00:00,1,AVRO,jadler,6,AVRO-1241,486.0,52,6,Fixed,355.696205443,1241,1,1,1,0,4,2,3 days 01:20:38.990000
Closed,Major,2013-02-27 00:54:02.924000+00:00,Bug,brocknoland,2013-02-01 16:23:45.152000+00:00,2013-02-05 14:47:38.671000+00:00,0,AVRO,cutting,8,AVRO-1240,1331.0,93,3,Fixed,355.696195271,1240,1,1,1,0,4,2,3 days 22:23:53.519000
Resolved,Minor,2013-02-04 14:22:10.725000+00:00,Bug,baunz,2013-02-01 09:43:58.638000+00:00,2013-02-04 14:22:10.692000+00:00,0,AVRO,,3,AVRO-1239,629.0,34,3,Duplicate,378.134992946,1239,1,1,1,2,4,2,3 days 04:38:12.054000
Resolved,Major,2013-05-24 16:10:58.690000+00:00,Improvement,mic159,2013-02-01 05:53:18.677000+00:00,2013-05-24 13:37:50.718000+00:00,0,AVRO,,7,AVRO-1238,343.0,35,4,Fixed,269.165780518,1238,1,0,0,0,4,2,112 days 07:44:32.041000
Closed,Minor,2013-02-27 00:53:59.225000+00:00,Bug,mwagner,2013-01-15 00:14:38.061000+00:00,2013-01-17 21:13:22.043000+00:00,0,AVRO,mwagner,1,AVRO-1233,171.0,59,2,Fixed,355.696238112,1233,1,1,0,0,1,1,2 days 20:58:43.982000
Closed,Minor,2013-02-27 00:54:00.965000+00:00,Improvement,gwu,2013-01-11 23:35:39.803000+00:00,2013-01-18 21:41:11.826000+00:00,0,AVRO,gwu,5,AVRO-1232,707.0,71,2,Fixed,355.696217977,1232,1,1,1,0,4,1,6 days 22:05:32.023000
Closed,Major,2013-02-27 00:53:59.832000+00:00,Bug,mwagner,2013-01-11 20:24:18.144000+00:00,2013-01-14 20:31:19.153000+00:00,0,AVRO,mwagner,1,AVRO-1231,349.0,55,3,Fixed,355.696231095,1231,0,0,0,0,4,1,3 days 00:07:01.009000
Closed,Blocker,2013-02-27 00:54:01.170000+00:00,Bug,tomwhite,2013-01-11 16:45:38.523000+00:00,2013-01-16 16:09:21.018000+00:00,1,AVRO,tomwhite,10,AVRO-1230,177.0,57,3,Fixed,355.696215476,1230,1,1,0,0,4,1,4 days 23:23:42.495000
Closed,Major,2013-02-27 00:54:00.538000+00:00,Improvement,mwagner,2013-01-10 01:12:25.589000+00:00,2013-01-18 19:35:00.067000+00:00,1,AVRO,cutting,14,AVRO-1229,234.0,36,4,Fixed,355.696222934,1229,0,0,0,0,3,1,8 days 18:22:34.478000
Closed,Major,2013-02-27 00:54:01.612000+00:00,Bug,mwagner,2013-01-10 01:00:20.918000+00:00,2013-02-04 22:14:13.333000+00:00,0,AVRO,cutting,7,AVRO-1228,243.0,47,4,Fixed,355.696210518,1228,1,1,1,0,3,1,25 days 21:13:52.415000
Closed,Major,2013-02-27 00:54:05.256000+00:00,Bug,scott_carey,2013-01-09 21:17:46.514000+00:00,2013-01-24 22:03:27.117000+00:00,0,AVRO,cutting,3,AVRO-1227,1604.0,51,2,Fixed,355.696168311,1227,0,0,1,0,2,1,15 days 00:45:40.603000
Resolved,Trivial,2013-02-14 23:51:14.467000+00:00,Bug,logicnut,2013-01-05 20:12:30.141000+00:00,2013-02-14 23:51:14.437000+00:00,0,AVRO,cutting,1,AVRO-1224,384.0,30,2,Fixed,367.739811719,1224,1,0,0,0,5,1,40 days 03:38:44.296000
Closed,Trivial,2013-02-27 00:54:03.774000+00:00,Improvement,ctm,2012-12-20 15:50:58.070000+00:00,2013-01-18 21:22:21.405000+00:00,0,AVRO,cutting,4,AVRO-1223,264.0,69,2,Fixed,355.696185496,1223,1,1,1,0,3,12,29 days 05:31:23.335000
Closed,Major,2013-02-27 00:54:03.139000+00:00,Bug,rodrigotrujillo,2012-12-19 18:32:47.895000+00:00,2012-12-19 23:38:56.998000+00:00,0,AVRO,rodrigotrujillo,4,AVRO-1221,1746.0,46,3,Fixed,355.696192816,1221,1,1,1,0,2,12,0 days 05:06:09.103000
Closed,Major,2013-02-27 00:54:01.402000+00:00,Bug,slandelle,2012-12-13 21:52:33.698000+00:00,2013-02-09 00:22:19.028000+00:00,0,AVRO,cutting,10,AVRO-1220,641.0,10,4,Fixed,355.696212959,1220,1,1,1,0,3,12,57 days 02:29:45.330000
Closed,Major,2013-02-27 00:54:03.350000+00:00,Bug,pjsg,2012-12-07 21:21:39.304000+00:00,2012-12-08 01:08:39.445000+00:00,0,AVRO,tebeka,3,AVRO-1217,258.0,67,2,Fixed,355.696190433,1217,1,0,1,1,4,12,0 days 03:47:00.141000
Closed,Major,2013-05-02 02:30:58.229000+00:00,Bug,matterhayes,2012-12-07 04:44:22.978000+00:00,2013-02-18 18:31:30.399000+00:00,0,AVRO,nagav.ashish,33,AVRO-1215,1294.0,62,7,Fixed,355.696228682,1215,1,1,1,2,4,12,73 days 13:47:07.421000
Closed,Major,2013-02-27 00:54:05.463000+00:00,Improvement,skye,2012-11-22 01:38:49.815000+00:00,2012-12-19 18:33:24.486000+00:00,0,AVRO,skye,9,AVRO-1211,76.0,29,5,Fixed,355.696165868,1211,1,0,1,1,3,11,27 days 16:54:34.671000
Closed,Trivial,2012-12-10 17:57:36.318000+00:00,Improvement,dbeech,2012-11-21 10:12:51.711000+00:00,2012-11-28 22:38:45.558000+00:00,0,AVRO,dbeech,2,AVRO-1210,147.0,51,2,Fixed,433.985392225,1210,0,0,1,0,2,11,7 days 12:25:53.847000
Closed,Minor,2012-12-10 17:57:37.646000+00:00,Improvement,jeffkole,2012-11-19 22:59:48.072000+00:00,2012-11-29 22:08:20.891000+00:00,0,AVRO,jeffkole,9,AVRO-1209,582.0,52,2,Fixed,433.985376846,1209,1,1,1,0,0,11,9 days 23:08:32.819000
Closed,Minor,2012-12-10 17:57:37.777000+00:00,Improvement,saden1,2012-11-16 15:26:37.825000+00:00,2012-11-19 20:57:31.443000+00:00,0,AVRO,saden1,4,AVRO-1207,44.0,34,2,Fixed,433.985375347,1207,1,1,1,0,4,11,3 days 05:30:53.618000
Closed,Major,2012-12-10 17:57:35.781000+00:00,Bug,cvigny,2012-11-16 13:27:18.575000+00:00,2012-11-28 22:35:22.949000+00:00,0,AVRO,,9,AVRO-1206,1332.0,29,2,Fixed,433.98539844,1206,1,0,1,0,4,11,12 days 09:08:04.374000
Closed,Minor,2012-12-10 17:57:37.117000+00:00,New Feature,saden1,2012-11-14 15:52:31.354000+00:00,2012-11-21 22:57:52.384000+00:00,0,AVRO,saden1,6,AVRO-1205,1158.0,44,2,Fixed,433.985382979,1205,1,1,1,0,2,11,7 days 07:05:21.030000
Closed,Major,2012-12-10 17:57:35.236000+00:00,Improvement,skye,2012-11-09 18:22:35.196000+00:00,2012-11-16 23:16:36.603000+00:00,0,AVRO,skye,11,AVRO-1202,284.0,44,5,Fixed,433.985404769,1202,1,0,0,1,4,11,7 days 04:54:01.407000
Closed,Major,2012-12-10 17:57:38.169000+00:00,Bug,saden1,2012-11-09 15:59:19.713000+00:00,2012-11-21 22:30:15.079000+00:00,0,AVRO,saden1,10,AVRO-1201,174.0,47,2,Fixed,433.985370813,1201,1,1,1,0,4,11,12 days 06:30:55.366000
Closed,Major,2012-12-10 17:57:36.978000+00:00,Bug,tomwhite,2012-11-08 21:54:33.210000+00:00,2012-11-09 10:57:38.938000+00:00,0,AVRO,tomwhite,3,AVRO-1200,231.0,75,2,Fixed,433.985384612,1200,1,1,1,0,3,11,0 days 13:03:05.728000
Closed,Major,2012-12-10 17:57:35.373000+00:00,Bug,kimslbing,2012-11-08 07:32:06.572000+00:00,2012-11-14 23:21:59.645000+00:00,0,AVRO,cutting,8,AVRO-1199,835.0,72,2,Fixed,433.985403179,1199,1,1,1,1,3,11,6 days 15:49:53.073000
Closed,Major,2013-02-27 00:54:04.651000+00:00,Bug,mpercy,2012-11-08 00:52:05.217000+00:00,2013-02-12 19:43:04.184000+00:00,0,AVRO,mpercy,6,AVRO-1198,279.0,70,3,Fixed,355.696175418,1198,1,1,1,0,3,11,96 days 18:50:58.967000
Closed,Major,2012-12-10 17:57:37.523000+00:00,Bug,mpercy,2012-11-08 00:46:56.833000+00:00,2012-11-08 21:15:21.043000+00:00,0,AVRO,mpercy,5,AVRO-1197,2502.0,68,2,Fixed,433.985378315,1197,2,1,0,0,3,11,0 days 20:28:24.210000
Closed,Major,2012-12-10 17:57:36.829000+00:00,New Feature,saden1,2012-11-03 00:19:53.912000+00:00,2012-11-13 09:56:22.781000+00:00,0,AVRO,saden1,20,AVRO-1188,1599.0,39,4,Fixed,433.985386379,1188,1,1,0,0,5,11,10 days 09:36:28.869000
Closed,Major,2012-12-10 17:57:38.031000+00:00,New Feature,saden1,2012-10-30 14:16:11.371000+00:00,2012-11-05 18:22:26.251000+00:00,0,AVRO,cutting,9,AVRO-1186,1743.0,24,2,Fixed,433.985372474,1186,1,1,0,0,1,10,6 days 04:06:14.880000
Closed,Minor,2012-12-10 17:57:37.397000+00:00,Bug,jeffreyt,2012-10-24 05:55:58.864000+00:00,2012-11-14 21:00:21.967000+00:00,0,AVRO,cutting,8,AVRO-1183,909.0,70,2,Fixed,433.98537982,1183,1,1,1,0,2,10,21 days 15:04:23.103000
Resolved,Major,2013-06-13 19:40:41.487000+00:00,Bug,drussel,2012-10-23 08:18:42.990000+00:00,2013-06-13 18:50:03.007000+00:00,0,AVRO,drussel,5,AVRO-1181,285.0,80,5,Fixed,248.948972057,1181,1,0,3,0,1,10,233 days 10:31:20.017000
Resolved,Major,2013-02-28 06:41:18.816000+00:00,Bug,viji_r,2012-10-17 07:46:52.497000+00:00,2013-02-28 06:41:18.783000+00:00,0,AVRO,,5,AVRO-1179,523.0,78,4,Duplicate,354.455039285,1179,1,1,1,0,2,10,133 days 22:54:26.286000
Closed,Trivial,2012-12-10 17:57:36.437000+00:00,Bug,martinkl,2012-10-17 01:36:52.955000+00:00,2012-11-28 22:42:54.164000+00:00,0,AVRO,martinkl,3,AVRO-1178,96.0,27,3,Fixed,433.985390943,1178,0,0,1,0,2,10,42 days 21:06:01.209000
Closed,Major,2012-12-10 17:57:38.445000+00:00,Bug,mintman,2012-10-01 08:50:19.688000+00:00,2012-11-28 22:47:22.374000+00:00,0,AVRO,mintman,3,AVRO-1177,1461.0,44,2,Fixed,433.985367694,1177,1,0,1,1,0,10,58 days 13:57:02.686000
Closed,Major,2012-12-10 17:57:35.936000+00:00,Bug,sandyr,2012-09-27 23:16:04.782000+00:00,2012-11-28 22:56:27.264000+00:00,0,AVRO,cutting,14,AVRO-1175,364.0,112,3,Fixed,433.98539675,1175,1,1,1,0,3,9,61 days 23:40:22.482000
Closed,Minor,2012-12-10 17:57:36.194000+00:00,Bug,sl.sy.ifm,2012-09-27 06:21:17.356000+00:00,2012-11-30 09:52:59.005000+00:00,0,AVRO,sl.sy.ifm,3,AVRO-1174,112.0,31,3,Fixed,433.985393766,1174,1,0,1,0,3,9,64 days 03:31:41.649000
Resolved,Major,2013-06-24 09:38:34.571000+00:00,Bug,sjoverend,2012-09-25 11:29:06.056000+00:00,2013-06-24 08:38:28.078000+00:00,2,AVRO,sjoverend,7,AVRO-1172,2171.0,47,5,Fixed,238.373681884,1172,1,0,1,1,1,9,271 days 21:09:22.022000
Closed,Minor,2012-12-10 17:57:38.317000+00:00,Bug,dbeech,2012-09-22 08:30:56.171000+00:00,2012-09-24 21:23:54.240000+00:00,0,AVRO,dbeech,3,AVRO-1171,415.0,62,2,Fixed,433.98536919,1171,1,1,1,0,5,9,2 days 12:52:58.069000
Closed,Major,2013-01-11 16:54:15.302000+00:00,Bug,tomwhite,2012-09-19 14:35:42.801000+00:00,2012-09-27 13:28:20.946000+00:00,0,AVRO,tomwhite,17,AVRO-1170,132.0,50,3,Fixed,433.985387988,1170,1,1,1,0,2,9,7 days 22:52:38.145000
Closed,Major,2012-12-10 17:57:37.903000+00:00,Improvement,hernan.otero,2012-09-18 18:52:36.821000+00:00,2012-09-24 21:14:51.361000+00:00,0,AVRO,hernan.otero,3,AVRO-1169,1392.0,52,2,Fixed,433.985373986,1169,1,1,1,0,1,9,6 days 02:22:14.540000
Closed,Minor,2012-09-25 21:22:59.502000+00:00,Bug,onetoinfinity@yahoo.com,2012-09-18 16:34:23.156000+00:00,2012-09-18 16:57:04.320000+00:00,0,AVRO,,1,AVRO-1168,680.0,69,2,Invalid,509.842762912,1168,1,1,1,0,1,9,0 days 00:22:41.164000
Closed,Minor,2012-09-25 21:16:14.202000+00:00,Improvement,lmartinking,2012-09-13 03:05:10.722000+00:00,2012-09-13 21:29:17.881000+00:00,0,AVRO,,2,AVRO-1160,435.0,38,2,Fixed,509.847453878,1160,1,0,1,1,3,9,0 days 18:24:07.159000
Closed,Major,2013-08-20 17:46:03.814000+00:00,Bug,jbaldassari,2013-04-11 01:58:42.619000+00:00,2013-07-15 00:54:12.999000+00:00,0,AVRO,jbaldassari,8,AVRO-1297,331.0,67,4,Fixed,180.993407445,1297,1,1,1,2,3,4,94 days 22:55:30.380000
Closed,Major,2013-08-20 17:46:03.614000+00:00,Bug,jbaldassari,2013-04-09 21:23:19.445000+00:00,2013-07-02 18:00:32.997000+00:00,0,AVRO,jbaldassari,10,AVRO-1292,4674.0,85,4,Fixed,180.99340975,1292,1,1,1,3,1,4,83 days 20:37:13.552000
Closed,Major,2013-08-20 17:46:06.854000+00:00,Test,martinkl,2013-04-03 04:45:50.168000+00:00,2013-04-13 04:46:50.613000+00:00,0,AVRO,martinkl,5,AVRO-1287,249.0,40,3,Fixed,180.993372253,1287,1,0,1,0,2,4,10 days 00:01:00.445000
Closed,Major,2013-08-20 17:46:08.657000+00:00,Bug,cwsteinbach,2013-03-21 19:04:10.081000+00:00,2013-07-26 13:55:52.078000+00:00,0,AVRO,cwsteinbach,5,AVRO-1279,,67,4,Fixed,180.993351401,1279,1,0,1,0,3,3,126 days 18:51:41.997000
Closed,Major,2013-08-20 17:46:09.412000+00:00,New Feature,tomwhite,2013-03-12 15:20:04.489000+00:00,2013-04-29 11:38:50.409000+00:00,0,AVRO,tomwhite,37,AVRO-1274,86.0,24,7,Fixed,180.993342668,1274,1,1,0,0,1,3,47 days 20:18:45.920000
Closed,Major,2013-08-20 17:46:03.475000+00:00,Improvement,cutting,2013-02-28 21:50:47.208000+00:00,2013-03-04 21:09:13.045000+00:00,0,AVRO,cutting,3,AVRO-1267,143.0,35,1,Fixed,180.993411376,1267,1,1,0,0,3,2,3 days 23:18:25.837000
Closed,Major,2013-08-20 17:46:06.171000+00:00,Bug,nagav.ashish,2013-02-28 20:02:16.213000+00:00,2013-04-13 04:32:35.193000+00:00,0,AVRO,nagav.ashish,14,AVRO-1266,131.0,95,5,Fixed,180.993380186,1266,1,1,0,0,3,2,43 days 08:30:18.980000
Closed,Minor,2013-08-20 17:46:07.171000+00:00,Bug,cconner,2013-02-27 19:37:53.150000+00:00,2013-07-09 22:14:50.878000+00:00,0,AVRO,cutting,10,AVRO-1261,754.0,71,5,Fixed,180.993368618,1261,1,1,1,0,2,2,132 days 02:36:57.728000
Closed,Major,2013-08-20 17:46:08.107000+00:00,Improvement,martinkl,2013-02-20 01:38:28.292000+00:00,2013-03-01 19:03:37.839000+00:00,0,AVRO,martinkl,6,AVRO-1260,818.0,42,2,Fixed,180.993357787,1260,1,0,1,0,2,2,9 days 17:25:09.547000
